dist_rank,dist_to_lake,site_no,parcel_id
0,670.5312143290921,4026,2952956
1,1212.0869244960097,11645,2952858
2,1268.2741358738929,6797,2953148
3,1577.8470937530958,3913,2952948
4,1682.3980577455413,6717,2953176
5,1723.6853369784249,4119,2953167
6,1927.3141872206772,10593,2952866
7,1974.0901585610077,9119,2952838
8,2036.534532507153,24464,2953190
9,2230.9113943503075,10361,2952864
10,2379.1099603386847,11643,2952960
11,2628.053100251123,23841,2952946
12,2748.9867310296386,5446,2953388
13,2771.8473159931045,9011,2953796
14,2775.497184808034,10357,2952942
15,2857.0415908242862,5500,2953395
16,2898.527361665875,6772,2953397
17,2991.800991426645,10446,2952754
18,3013.0143296373667,23323,2953791
19,3025.4328262233926,7789,2965599
20,3072.069532776283,9288,2952862
21,3151.55880338071,7786,2952940
22,3330.824407283249,12839,2953778
23,3362.224034666178,6501,2952883
24,3376.875265303066,11835,2953198
25,3398.0796320341315,21847,2952887
26,3526.968445507738,11941,2952939
27,3546.795602550763,3914,2952944
28,3625.8121997498833,6723,2953793
29,3641.717634587485,6725,2953402
30,3670.2608346929437,6726,2953401
31,3677.307999369333,7813,2952778
32,3688.833021220869,23868,2953398
33,3737.888490117917,3891,2954040
34,3862.53248147851,10586,2953418
35,3923.690174105797,5426,2952743
36,3924.228382479913,13007,2952750
37,3987.2499523142883,6527,2952783
38,3994.914791532081,10533,2953214
39,3995.137734336048,5535,2953386
40,4035.958781342705,6628,2953552
41,4062.61820571748,10624,2953445
42,4082.013697128804,12835,2952879
43,4115.834790342431,9115,2952748
44,4118.186734016906,13099,2953392
45,4122.017508685563,13038,2953208
46,4174.1168703104395,4141,2953816
47,4179.513541989346,11848,2966050
48,4205.8151306966365,5220,2954044
49,4207.39730315711,11276,2965582
50,4239.466430538102,5342,2952886
51,4258.739310586436,10402,2952776
52,4263.857161317324,4152,2953421
53,4307.553420285513,12834,2952740
54,4348.62190744433,12837,2952934
55,4357.536400210007,3915,2954016
56,4366.607386954181,5268,2953548
57,4372.792986033009,10637,2953533
58,4381.59129780148,11736,2952928
59,4384.448080474863,4206,2953447
60,4478.711806987635,10625,2953446
61,4488.392002986098,5253,2954017
62,4518.3335828284135,4027,2952896
63,4534.235467889214,5252,2952747
64,4563.510165092686,8054,2953382
65,4582.7127256429785,22133,2953217
66,4601.344136231476,4227,2953457
67,4637.598073577338,10445,1923429
68,4651.005761299541,10358,2954022
69,4656.6475808579335,8037,2953448
70,4708.494065444931,5439,2953544
71,4769.877008220918,19332,1923449
72,4800.756489375847,6700,2952894
73,4801.759972873798,22136,2953375
74,4863.198328681478,9357,2953455
75,4878.63015970747,9289,2952899
76,4887.676429718514,3961,1923408
77,4953.4048751855735,7787,2952737
78,4967.44608976364,20664,2953743
79,4968.9771446396,6773,2953808
80,4979.64359176239,4207,2953810
81,5006.515283417991,11938,2953572
82,5016.977521176808,10362,2953307
83,5054.785831645267,9117,2954084
84,5115.213218256513,6718,2954019
85,5155.644515555731,11785,1964764
86,5191.853132733725,11832,2952926
87,5210.824470109151,10414,2953746
88,5241.980635083459,10403,1923413
89,5271.073972190735,8893,2953297
90,5278.252769438345,13138,2953453
91,5291.445679170291,8073,2953450
92,5338.284332367603,6699,2952730
93,5385.298036584998,6696,2953443
94,5391.7519168034605,7968,2953383
95,5393.550247630361,6529,1923404
96,5407.966038650321,7963,2952892
97,5411.921897391701,11704,1923416
98,5424.202174457639,11705,2952727
99,5426.557499026793,6697,2953316
100,5445.657383438784,10580,2953459
101,5493.41219623052,3996,1923452
102,5505.439483572935,5547,2965563
103,5513.064926869413,13137,2953745
104,5513.5956565577535,13050,2953440
105,5533.586756202578,9116,2954023
106,5541.495438885811,11561,2953558
107,5577.689542759823,11533,2952919
108,5578.962436254751,12840,2953458
109,5609.8619459364045,5320,2953475
110,5655.587504551472,5344,2954096
111,5715.723651553715,7788,2953321
112,5736.338724136646,9118,2954087
113,5747.2891094979195,10359,2953356
114,5787.903299571194,10113,1922060
115,5839.509566451083,12940,2952724
116,5860.345206131008,20643,2954092
117,5898.306751133333,5427,2952731
